samsung/GT-I9050/GT-I9050:2.3.6/GINGERBREAD/ZMLL1:user/release-keys,1650
UMI/G6/G6:4.2.1/JOP40D/1388817413:user/test-keys,4150
ZTE/z788/z788:4.0.3/IML74K/user.ztetd.20120926.091931:user/release-keys,1200
VIVO/t6_2g_xhr_b4/t6_2g:4.0.3/IML74K/T6.XHR.B4.V3.01:userdebug/test-keys,2800
Huawei/MT1-U06/hwmt1-u06:4.2.2/HuaweiMT1-U06/CHNC00B907:user/ota-rel-keys,release-keys,4000
OPPO/OPPO82_13059/R827T:4.2.2/JDQ39/1383754128:user/release-keys,1700
ZTE/U960s3/U960s3:4.0.4/IMM76D/eng.root.20121123.113030:user/release-keys,2000
Meizu/meizu_mx2/mx2:4.2.1/JOP40D/M04X.Flyme_OS_3.2.1387281333:user/release-keys,1800
Meizu/meizu_mx2/mx2:4.1.1/JRO03H/M04X.Flyme_2.4.1.1377326611:user/release-keys,1750
alps/bird75_c_cu_ics/bird75_c_cu_ics:4.0.4/IMM76D/1367046092:user/test-keys,1500
verizon_wwe/dlx/dlx:4.1.1/JRO03C/123160.4:user/release-keys,2020
google/nakasi/grouper:4.2.2/JDQ39B/20131011:user/test-keys,5000
alps/hexing15_6626_gb2/hexing15_6626_gb2:2.3.6/GRK39F/1350099203:user/test-keys,1000
yusu/ms40_x1/ms40_x1:2.3.5/GRJ90/eng.daguang.1337828303:user/test-keys,1450
alps/uniscope77_bu3_cu_ics2/uniscope77_bu3_cu_ics2:4.0.4/IMM76D/1357723245:user/test-keys,2020
SEMC/LT26w_1266-2032/LT26w:4.0.4/6.1.A.2.45/0vd_zw:user/release-keys,1840
alps/hct17_ics2/hct17_ics2:4.0.4/IMM76D/1365821446:user/test-keys,1650
Meizu/meizu_mx2/mx2:4.1.1/JRO03H/M04X.Flyme_2.4.1.1377326611:user/release-keys,1750
Xiaomi/pisces/pisces:4.2.1/JOP40D/3.12.6:user/release-keys,3050
samsung/GT-S5830/GT-S5830:2.3.6/GINGERBREAD/DAVID:user/release-keys,2000
MOTO/jordan_china/umts_jordan:2.3.6/4.5.3-109_DPP-17/1331282965:user/release-keys,1200
SEMC/LT26w_1266-2635/LT26w:4.0.4/6.1.A.2.45/0vd_zw:user/release-keys,1700
alps/ey75_ics/ey75_ics:4.0.4/IMM76D/1353489336:user/test-keys,2000
Colorfly/fiber_colorfly/fiber-colorfly:4.2.2/JDQ39/20131030:eng/test-keys,2300
yusu/ouboxin/ouboxin:2.3.4/GRJ22/eng.dewav.1330999071:user/test-keys,999999999999
tmous/htc_pyramid/pyramid:4.0.3/IML74K/356011.14:user/release-keys,99999
HTT:4.2.1/JOP40D/1374133924:user/test-keys,1500
Meizu/meizu_mx2/mx2:4.2.1/JOP40D/M04X.Flyme_OS_3.2.1387281333:user/release-keys,1800
generic/whistler/whistler:2.3.4/GRJ22/TBW780138_7678_platform:user/release-keys,1800
sprd/sprdroid_base/hsdroid/sp6820a:4.0.8/MocorDroid2.3.5/W12.09.11:user/test-keys,100
MOTO/ME860_HKTW/olympus:2.3.4/4.5.2A-74_OLH-25/110915:user/release-keys,2300
T-King/s9201/s9201:4.2.1/JOP40D/1368613448:user/test-keys,2000
dell/rk30sdk/rk30sdk:4.2.2/JDQ39/V1.1_131113:user/release-keys,3500
Huawei/C8812E/hwC8812E:4.1.1/HuaweiC8812E/B608:user/ota-rel-keys,release-keys,1350
htc_asia_wwe/htc_shooteru/shooteru:4.0.3/IML74K/385730.1:user/release-keys,1750
SEMC/LT28h_1267-1661/LT28h:4.1.2/6.2.B.0.211/LL__zg:user/release-keys,1900
SEMC/LT26i_1257-4009/LT26i:4.1.2/6.2.B.1.96/n7v_zg:user/release-keys,1800
ZTE/U880E/U880E:2.3.7/GWK74/eng.root.20120924.171013:user/release-keys,2600
Meizu/meizu_mx2/mx2:4.2.1/JOP40D/M04X.Flyme_OS_3.2.1387281333:user/release-keys,1900
ZTE/U930HD/U930HD:4.0.3/IML74K/eng.root.20130722.185724:user/release-keys,1800
OPPO/OPPO_12025/X909:4.2.2/JDQ39/1357823013:user/release-keys,2500
Huawei/C8825D/hwc8825D:4.0.4/HuaweiC8825D/C92B943SP01:user/ota-rel-keys,release-keys,2000
ZTE/P117A11/P117A11:4.0.4/IMM76D/eng.root.20130418.143716:user/release-keys,1800
alps/hct17_ics2/hct17_ics2:4.1.2/IMM76D/1368090451:user/test-keys,1350
google/yakju/maguro:4.3/JWR66Y/776638:user/release-keys,1750
Huawei/G510-0010/hwG510-0010:4.1.1/HuaweiG510-0010/C17B182:user/ota-rel-keys,release-keys,1700
Xiaomi/aries/aries:4.4.2/KOT49H/937116:user/release-keys,3100
Xiaomi/pisces/pisces:4.2.1/JOP40D/JXCCNAL11.0:user/release-keys,3500
qcom/g610-c00/g610-c00:4.1.2/JZO54K/eng.lewa.20140106.134043:user/test-keys,1700
Meizu/meizu_mx2/mx2:4.1.1/JRO03H/M04X.Flyme_2.4.1.1377326611:user/release-keys,1900
Lenovo/lenovo75_cu_gb/lenovo75_cu_gb:2.3.6/GRK39F/A750_S150_120530:user/release-keys,2000
OPPO/OPPO_12025/X909:4.2.2/JDQ39/1357823013:user/release-keys,2500
OPPO/OPPO_12025/X909:4.2.2/JDQ39/1357823013:user/release-keys,2500
samsung/GT-N7000/GT-N7000:2.3.6/GINGERBREAD/ZSKK1:user/release-keys,7800
ZTE/P988T20/P988T20:4.1.2/JZO54K/eng.root.20130711.102559:user/release-keys,900
nubia/NX403A/NX403A:4.2.2/JDQ39/eng.nubia.20131212.184503:user/release-keys,2000
vivo/bbk17_td3001_jb/bbk17_td3001_jb:4.1.2/JZO54K/1370575029:user/test-keys,2000
OPPO/OPPO_12025/X909:4.2.2/JDQ39/1357823013:user/release-keys,2500
google/hammerhead/hammerhead:4.4.2/KOT49H/937116:user/release-keys,2300
KDDI/m7_jp_kdi/m7wlj:4.2.2/JDQ39/244097.1:user/release-keys,2300
Meizu/meizu_mx2/mx2:4.2.1/JOP40D/M04X.Flyme_OS_3.2.1387281333:user/release-keys,1830
Bambookphone/s1w_u8500/u8500:4.1.1/NS4.1/13422:user/release-keys,1900
Minte/l9qt_mt_g3/l9qt_mt_g3:4.2.1/JOP40D/1369365939:user/test-keys,1600
Xiaomi/pisces/pisces:4.2.1/JOP40D/JXCCNAL11.0:user/release-keys,3000
alps/v926b/v926b:4.0.4/IMM76D/1351946874:user/test-keys,1100
Coolpad/Coolpad7235/Coolpad7235:4.0.4/IMM76D/1368082713:user/release-keys,2100
alps/X1A-1/X1A-1:4.0.4/IMM76D/1372510291:user/test-keys,1500
ZTE/U880F1/U880F1:4.0.4/IMM76D/eng.root.20121105.182927:user/release-keys,10000
rk30sdk/rk30sdk/rk30sdk:4.2.2/JDQ39/eng.bob.20130916.113943:eng/test-keys,5500
alps/d96_plus/d96_plus:2.3.6/GRK39F/1343731313:user/release-keys,1350
CIKAA/bird72_wet_c_jb3/bird72_wet_c_jb3:4.2.2/JDQ39/1382414500:user/test-keys,1500
ZTE/u960s3/u960s3:4.0.4/IMM76D/u960s3_11.11.38.593:user/release-keys,2000
moto/SLNCT/cdma_solana:2.3.6/SLNCT-60.3.250/120110:user/release-keys,1500
Lenovo/LePhone/A288t:2.3.5/MocorDroid2.3.5/A288t_S161_120516.20130327:user/release-keys,2100
Huawei/G700-T00/hwG700-T00:4.2.1/HuaweiG700-T00/C01B142:user/ota-rel-keys,release-keys,2150
Android/full_maguro/maguro:4.2.2/JDQ39/I9250_S_2.3.39.104:userdebug/release-keys,1750
sprd/sprdroid_base/hsdroid:2.3.5/MocorDroid2.3.5/W12.20_P10_20120922.160942:user/test-keys,1400
vivo/msm8960/msm8960:4.2.2/JDQ39/eng.compiler.20131227.120806:user/test-keys,3400
vivo/bbk89_cmcc_jb2/bbk89_cmcc_jb2:4.2.1/JOP40D/1376653954:user/test-keys,2000
MOTO/jordan_china/umts_jordan:2.3.6/4.5.3-66/62:user/test-keys,1650
samsung/s826_lhtf/s826_lhtf:4.1.3/IMM76D/20130401145920:user/test-keys,1200
unknown,1350
Xiaomi/pisces/pisces:4.2.1/JOP40D/4.1.3:user/release-keys,3200
Android/ht9_tjgj_rmd1028_mul/ht9_tjgj_rmd1028_mul:4.1.1/JRO03C/1370028694:user/test-keys,6000
Retail_WG/MC002/MC002:4.2.1/Retail_WGMC002/MC002_H3_02.22_06191638:user/release-keys,3000
htc_europe/htc_pyramid/pyramid:2.3.5/GRJ90/168617.1:user/release-keys,1700
sprd/sprdroid_base/hsdroid:2.3.5/MocorDroid2.3.5/W12.20_P-5_20130403.212503:eng/test-keys,1500
Meizu/meizu_mx2/mx2:4.1.1/JRO03H/M04X.Flyme_2.4.1.1377326611:user/release-keys,1900
VIVO/t6_2g_xhr_b4/t6_2g:4.0.3/IML74K/T6.XHR.B4.V3.01:userdebug/test-keys,2600
Xiaomi/pisces/pisces:4.2.1/JOP40D/JXCCNAL11.0:user/release-keys,3050
Sony/C6603_1270-5695/C6603:4.2.2/10.3.A.0.423/WP5_rg:user/release-keys,2330
samsung/GT-S5830/GT-S5830:2.3.4/GINGERBREAD/ZSKPD:user/release-keys,3880
ZTE/ZTE-N909/ZTE-N909:4.1.2/JZO54K/eng.root.20130517.155954:user/release-keys,1400
samsung/GT-I9100G/GT-I9100G:4.1.2/JZO54K/I9100GZCLSH:user/release-keys,1700
alps/konka75_cu_ics/konka75_cu_ics:4.0.3/IML74K/1340175070:user/release-keys,1400
alps/A2/A2:4.0.4/IMM76D/1361779457:user/test-keys,1500
iNet/crane_inet/crane-inet:4.0.4/IMM76D/20120811:eng/test-keys,4500
OPPO/OPPO_12025/X909:4.2.2/JDQ39/1357823013:user/release-keys,2500
alps/cci75_cu_ics/cci75_cu_ics:4.0.3/IML74K/1348810861:user/release-keys,2000
Android/rk29sdk/rk29sdk:4.1.1/JRO03H/20121112.141659:eng/release-keys,2075
htc_asia_wwe/htc_shooteru/shooteru:2.3.4/GRJ22/115289.3:user/release-keys,1800
samsung/m0zs/m0:4.1.2/JZO54K/I9300ZSEMB1:user/release-keys,555555
generic/ventana_U930/ventana_U930:4.0.3/IML74K/user.ztetd.20121224.100634:user/release-keys,1650
samsung/GT-S6358/GT-S6358:2.3.6/GINGERBREAD/ZMLH1:user/release-keys,2100
samsung/GT-S6358/GT-S6358:2.3.6/GINGERBREAD/ZMLH1:user/release-keys,1300
nubia/NX403A/NX403A:4.2.2/JDQ39/eng.nubia.20131212.184503:user/release-keys,2000
