zten881e,zten881e,1
zten881f,zten881f,1
zten909,zten909,1
zten919,zten919,1
zten970,zten970,1
zten980,zten980,1
zten983,zten983,1
zten986,zten986,1
ztet82,ztet82,1
zteu788,zteu788,1
zteu788+,zteu788+,1
zteu790,zteu790,1
zteu791,zteu791,1
zteu793,zteu793,1
zteu795,zteu795,1
zteu807,zteu807,1
zteu808,zteu808,1
zteu817,zteu817,1
zteu880,zteu880,1
zteu880e,zteu880e,1
zteu880f,zteu880f,1
zteu880f1,zteu880f1,1
zteu880s,zteu880s,1
zteu880s2,zteu880s2,1
zteu885,zteu885,1
zteu887,zteu887,1
zteu930hd,zteu930hd,1
zteu960s2,zteu960s2,1
zteu960s3,zteu960s3,1
ztev788d,ztev788d,1
ztev818,ztev818,1
ztev880,ztev880,1
ztev881,ztev881,1
ztev889d,ztev889d,1
ztev889f,ztev889f,1
ztev889m,ztev889m,1
ztev889s,ztev889s,1
ztev955,ztev955,1
ztev956,ztev956,1
ztev965,ztev965,1
ztev967s,ztev967s,1
ztev985,ztev985,1
ztev987,ztev987,1
motorolamilestonex,motorolamilestone,0.988889
htcincredible,htcincredibles,0.985714
motorolaxt910k,motorolaxt910,0.985714
htcbutterfly,htcbutterflys,0.984615
samsungi9100,samsungi9100g,0.984615
coolpad7295a,coolpad7295,0.983333
coolpad8070,coolpad8070d,0.983333
gioneegn160,gioneegn160t,0.983333
huaweic8812e,huaweic8812,0.983333
huaweit8950,huaweit8950n,0.983333
huaweiu8800,huaweiu8800+,0.983333
huawei-u8850,huaweiu8850,0.983333
huaweiu9510,huaweiu9510e,0.983333
k-toucht780+,k-toucht780,0.983333
htc_mytouch4g,htcmytouch4g,0.982051
hisenset860,hisenset80,0.981818
k-touche688,k-touche88,0.981818
lenovoa370,lenovoa370e,0.981818
lenovoa820t,lenovoa820,0.981818
k-touchu90,k-touchu9,0.98
lenovoa360,lenovoa630,0.98
lenovoa660,lenovoa66,0.98
lenovoa690,lenovoa60,0.98
lenovop70,lenovop780,0.98
motoroladroidrazr,motoroladroidrazrhd,0.978947
htcevov4g,htcevo4g,0.977778
oppor815,oppor815t,0.977778
sonyericssonlt18a,sonyericssonlt18i,0.976471
sonyericssonmt25i,sonyericssonmt15i,0.976471
sonyericssonwt18i,sonyericssonlt18i,0.976471
htcsensation(xe),htcsensationxe,0.975
htcthunderbolt,htcthunderbolt4g,0.975
huaweiascendg300,huaweiascendg700,0.975
huaweiascendg330,huaweiascendg350,0.975
meizu_m9,meizum9,0.975
sonyericssone10i,sonyericssone16i,0.975
sonyericssone15i,sonyericssone16i,0.975
zteacqua,zteaqua,0.975
zten790s,zten790,0.975
zteu960e,zteu960,0.975
zteu9810,zteu810,0.975
zteu9815,zteu985,0.975
htc_x515e,htcx515e,0.974074
motorolaxt806,motorolaxt806lx,0.973333
samsunggt-i9001,samsunggt-i9000,0.973333
samsunggt-i9003,samsunggt-i9000,0.973333
samsunggt-i9050,samsunggt-i9000,0.973333
samsunggt-i9070,samsunggt-i9000,0.973333
samsunggt-i9100,samsunggt-i9000,0.973333
samsunggt-i9200,samsunggt-i9000,0.973333
samsunggt-i9500,samsunggt-i9000,0.973333
samsungsch-i509,samsungsch-i500,0.973333
samsungsch-i605,samsungsch-i405,0.973333
alpsg23,alpsg3,0.971429
htcincredible2,htcincredibles,0.971429
samsunggalaxyx,samsunggalaxyk,0.971429
ztev970,ztev790,0.971429
htcevoshift,htcevoshift4g,0.969231
huaweiu8950-1,huaweiu8951,0.969231
motorolamb501,motorolamb508,0.969231
