motorolaxt615, 1390, motorolaXT615
d300, 1500, 朵唯D300
t9600, 2400, 波导T9600
k-touchw95, 2000, k-touchW95
alteka14leo, 1020, Altek  A14 LEO
gioneegn180, 2500, gioneeGN180
coolpad5910, 1700, coolpad5910
zteu880f1, 1600, zteU880F1
huaweiy220t, 1500, huaweiY220T
d9, 1800, 朵唯D9
ztegrands, 1780, zteGrand S
htcsensation, 1520, HTC Sensation (G14)
huaweic8860e, 1930, huaweiC8860E(Honor/荣耀 电信版)
htcz560e, 1650, HTC Z560e(One S微博版)
coolpad8050, 1300, coolpad8050
gioneegn787, 2000, gioneeGN787
gioneegn818t, 1800, gioneeGN818T
huaweit8833, 1730, huaweiT8833
huaweiascendg350, 1730, huaweiAscend G350
a2, 3000, 路虎A2
huaweiascendg710, 2150, huaweiAscend G710
x1, 1800, 小宇宙X1
zteu791, 1150, zteU791
hisensee912s, 1300, hisenseE912S
motoroladroidmini, 2000, motorolaDroid Mini
gioneec620, 3000, gioneeC620
lenovoa519, 2000, lenovoA519
samsungs5820, 1500, samsungS5820
samsungs5838, 1350, samsungS5838
z7, 4000, 努比亚Z7
lenovophones880, 2250, lenovo S880
magic1, 1700, 迪士尼Magic 1
huaweic8650, 1400, huaweiC8650
x7, 1800, 现代X7
gioneegn800, 2100, gioneeGN800
m701, 2000, 中国移动M701
gioneegn106, 1300, gioneeGN106
d10, 2100, 朵唯D10
zten881e, 1600, zteN881E
conquestknightxv, 1950, Conquest Knight XV
thlw8, 2000, ThL W8(超越版)
gioneegn777, 2000, gioneeGN777
lenovophonea600e, 2500, lenovo A600e
lenovopada2105, 2500, lenovo乐Pad A2105
ztev889s, 1600, zteV889S
huaweiy310s, 1350, huaweiY310S
m1, 2000, 北斗小辣椒M1
alpsg4, 1850, alpsG4标准版
ztev889f, 1600, zteV889F
zteu795+, 1600, zteU795+
zten880g, 2000, zteN880G
t310, 1400, 酷比T310
huaweiascendd2, 3000, huaweiAscend D2(联通版)
f9, 2100, 北斗小旋风F9
coolpad9100, 1700, coolpad9100
coolpad5211, 1500, coolpad5211
coolpad5860s, 1700, coolpad5860S
coolpad8870, 2000, coolpad8870
coolpad7020, 1300, coolpad7020
samsungi8550, 2000, samsungI8550(GALAXY Win)
i2, 1500, 北斗小辣椒I2 (安卓版)
k-touchw656, 1500, k-touchW656
k-touche806, 1800, k-touchE806
n828v, 2050, 夏新N828 大V王子版
k-touchkissu90, 2000, k-touchKissU90 初恋版
zten807, 1600, zteN807
htcs720tonext, 1800, HTC S720t One XT(16GB)
lenovophonea520, 1500, lenovo A520
huaweiy210c, 1700, huaweiY210C
sonyxperiaspm35t, 2370, sonyXperia SP M35t
ztegrands, 1780, zteGrand S(移动版)
lenovoa630e, 2500, lenovoA630e
coolpad9930, 1900, coolpad9930
huaweit9510e, 2600, huaweiT9510E(Ascend D1)
tcls820, 1800, TCL S820
lenovoa370e, 1500, lenovoA370e(电信版)
htcdesire500, 1800, HTC Desire 500
thl, 2000, ThL 美猴王青春版
coolpad5216d, 1500, coolpad5216D
vivos1, 1930, vivo S1
vivoe3, 2000, vivo E3
vivov2, 1880, vivo V2
opporealr807, 1520, OPPO Real R807
oppor805, 1400, OPPO R805
w910, 1760, 海尔W910(360特供机超级战舰)
hisenset912, 1300, hisenseT912
hisensee926, 2000, hisenseE926
motoroladroidrazrmaxxhd, 3300, motorolaDROID RAZR MAXX HD
motorolaxt890, 2000, motorolaXT890(RAZR i)
motorolaxt883, 1500, motorolaXT883(Droid 3电信版)
motorolaxt320, 1650, motorolaXT320(Defy Mini)
motorolaxt681, 1390, motorolaXT681(锋丽)
motorolaxt390, 1390, motorolaXT390
motoroladroidx, 1540, motorolaDroid X(电信版ME811)
motorolamt680, 1390, motorolaMT680
lenovoa760t, 2000, lenovoA760t
meizumx, 1600, meizuMX双核(16G)
sonyxperiaul, 2300, sonyXperia UL
lenovoa770e, 1300, lenovoA770e
sugarss129, 2350, SUGAR SS129(16GB优雅版)
w832, 2400, 飞利浦W832
vivoe1, 1220, vivo E1
htcsensationxe, 1730, HTC Sensation XE(G18)
gioneegn810, 3000, gioneeGN810
oppor819, 2000, OPPO R819
