HTC,HTC Incredible S,,
alps,RLT7777,,
alps,G8801,,
alps,DH U890,,
alps,Lingwin 880C,,
alps,W105,,
alps,iphone 5,,
alps,ZTE U956,,
alps,iPhone5,,
alps,E818,,
alps,EBEST F5,,
alps,E9,,
alps,JY-G2,,
alps,P2A,,
alps,T8100,,
alps,MID,,
alps,DK PAD99,,
alps,JY-G2,,
alps,U980A,,
alps,K1391,,
alps,K-one,,
alps,ZTE U956,,
alps,S6102,,
alps,MLLED M1,,
alps,A208,,
alps,K-one,,
alps,YTONE S3A,,
alps,EBEST F5,,
alps,magcomm77_cu_ics2,,
alps,Haier-W718,,
alps,U701T,,
alps,Mytel,,
alps,H701,,
alps,ZTE U956,,
alps,ZTE U956,,
alps,TOOKY A19PLUS,,
alps,ZTE U956,,
alps,TOOKY T1982,,
alps,TD800,,
alps,KPT A9PLUS,,
alps,Q1,,
alps,TX300,,
alps,ANTAI,,
alps,S800_AE902,,
alps,P5,,
alps,M2,,
alps,ZTE U956,,
alps,V981,,
alps,ZTE U956,,
alps,crave S5A,,
alps,IHD828,,
alps,K1391,,
alps,Android,,
alps,JY-G2,,
alps,ZTE U956,,
alps,U980A,,
alps,E120L,,
alps,R813T,,
alps,U701,,
alps,S4+,,
alps,Advance TV,,
alps,V985,,
alps,OPSSON iMO850,,
alps,5S,,
alps,R811,,
alps,BOHP P3,,
alps,e1901_v77_jbl1_9p017,,
alps,ZTE U956,,
alps,ChanghongV7,,
alps,K1391,,
alps,TOOKY T1992,,
alps,DK P120,,
alps,P860M,,
alps,R801,,
alps,AOLE G3,,
alps,ChonghongV8,,
alps,HTC Rezound,,
alps,HD-89,,
alps,i9220,,
alps,F-ONE,,
alps,epade A360S,,
alps,OZZO-119+,,
alps,A350,,
alps,TOOKY T1982,,
alps,Simtelep Q68,,
alps,intki E96,,
alps,ZTE U956,,
alps,U802,,
alps,U16,,
alps,KAVA V800,,
alps,联想a830,,
alps,R811,,
alps,G9800+,,
alps,T9989,,
alps,U705T,,
alps,eidolon15_nand_gb2,,
alps,808,,
alps,C09S,,
alps,GT-I9502,,
alps,K1391,,
alps,BF_A18,,
alps,kliton I30,,
alps,P200四核,,
alps,U705T,,
alps,HX-M02,,
alps,R811,,
alps,HX838,,
alps,GT-i9300,,
alps,Q8E,,
alps,R817,,
alps,ZTE U956,,
alps,VB 920,,
alps,U705T,,
alps,PL998,,
alps,ZTE U956,,
alps,KPT A43W,,
alps,A66,,
alps,i90,,
alps,hexing15_6626_gb2,,
alps,U55GT,,
alps,OUKI OK16S,,
alps,W990,,
alps,T900,,
alps,R817,,
alps,DOOV_D600,,
alps,W99C,,
alps,ZTE U956,,
alps,ZTE U956,,
alps,A66,,
alps,Mytel,,
alps,FDT G505,,
alps,TOOKY T88,,
alps,ING800,,
alps,GT-S5830i,,
alps,iPhone5,,
alps,iPhone5,,
alps,JY-G2,,
alps,iPhone 4S,,
alps,E9002,,
alps,R811,,
alps,iPhone5,,
alps,ZTE U956,,
alps,A208,,
alps,K1391,,
alps,E5680,,
alps,GT-S5830i,,
alps,TX300,,
alps,H15 Aries,,
alps,COLMI E8,,
alps,C9,,
alps,Victory_S3,,
alps,V3,,
alps,T29,,
alps,HTC One X,,
alps,K-one,,
alps,I8000S,,
alps,GT-N7102,,
alps,PB-S3-77,,
alps,U705T,,
alps,K-one,,
alps,U930B,,
alps,V3,,
alps,HTC One S,,
alps,MLLED_M1,,
alps,9,,
alps,R813T,,
alps,MOFUT F1,,
alps,ZTE U956,,
alps,VB_I5,,
alps,R805,,
alps,BP-I9300,,
alps,K-one,,
alps,SHMA S1000,,
alps,YC800,,
alps,G8802,,
alps,A208,,
alps,U705T,,
alps,T33333,,
alps,JY-G2,,
alps,V981,,
alps,U701,,
alps,ZTE U956,,
alps,iPhone5,,
alps,A66,,
alps,T9989,,
alps,GT_S5830i,,
alps,C12,,
alps,COGOO Cosmic7,,
alps,ZTE U956,,
alps,U930,,
alps,S901,,
alps,GT-S5830i,,
alps,ZP100,,
alps,HEDY_H701,,
alps,JY-G2,,
alps,K-Touch Kis 1,,
alps,QIANGZHE P6,,
alps,4S,,
alps,K5,,
alps,W6100,,
alps,E9,,
alps,U705T,,
alps,I3,,
alps,GT-S5830i,,
alps,Mytel,,
alps,iPhone5,,
alps,V930,,
alps,BF A16,,
alps,TOOKY T1992,,
alps,GT-S5830i,,
alps,X9,,
alps,4S,,
alps,R817,,
alps,BL-A10D,,
alps,A7*,,
alps,ZTE U956,,
alps,iPhone5,,
alps,4S,,
alps,Netpal_A8_miPad,,
alps,LA-I Dual core,,
alps,GN800,,
alps,VOTO-J5218,,
alps,OUKI OK16S,,
alps,GT-S5830i,,
alps,K-one,,
alps,U705T,,
alps,U55GT,,
alps,GT-S5830i,,
alps,Cloudfone Thrill 530qx,,
alps,iPhone5,,
alps,W105,,
alps,JY-G2,,
alps,Cloudfone Thrill 530qx,,
alps,ZTE U956,,
alps,LA-I,,
alps,P200,,
alps,V61,,
alps,TD300,,
alps,H7538,,
alps,MASTONE G13,,
alps,K-Touch U81t,,
alps,xiaomi2,,
alps,EA6900T,,
alps,GT-S5830i,,
alps,6S,,
alps,HOSIN T70,,
alps,K-Touch U81t,,
alps,ZTE U956,,
alps,ZTE U956,,
alps,HW-W718,,
alps,GT-S5830i,,
alps,K-one,,
alps,V.LAND EX350,,
alps,JY-G2,,
alps,TD300,,
alps,GT-I8190,,
alps,U705T,,
alps,iphone,,
alps,OUKI-A8,,
alps,V985,,
alps,I9200,,
alps,GT_S5830i,,
alps,TD300,,
