gn170,2500
HTC DESIRE S WITH BEATS AUDIO,1450
ZTE-C N600/600 ,1000
a08,1500
a03,1350
LT15I,1500
a05,1400
VIVO V2,1500
VIVO V1,1500
MOTO XT800 PLUS,1390
vinus x1,1750
b5330galaxy chat,1200
XT928,1735
HTC DROID ERIS,1300
m232gb,2000
zopo zp100,1650
u8800+,1500
st25ixperia u,1290
s6010galaxy music,1300
HTC X515M,1730
HTC X515D,1730
s6500d,1300
htc a6390,1300
htc g10desire hd,1230
lg c550optimus chat,1280
n01,1500
oppo t703,1500
8870,2000
phone s720,2000
tcl s500,1500
HTC INCREDIBLE S KNOWING,1450
n02-m,1850
st18ixperia ray,1500
c8826d,1930
xt681,1390
d822,2000
ascend d2,3000
bfb w9800,1800
HTC EVO 3D X515A,1730
HTC EVO 3D X515M,1730
lg p930nitro hd,1830
obee i909,3000
lt26iixperia sl,1750
e9,1400
MB300,1380
e6,1400
tcl w969,1300
HTC LEGEND,1300
LG-P698,1500
g'five a56,1150
LG-P693,1500
LG-P690,1500
lt26wxperia acro s,1840
HTC X515E RAIDER(T9399 ) FOR SPRINT,1730
8050,1300
MOTOROLA XT500,1230
MOTOROLA XT502,1230
ZTE-BLADE,1250
SH8158U,1320
1s,1930
i847rugby smart,1650
COOLPAD 7500,1300
XT681,1390
electrify m,2000
i339,1200
MOTO XT862,1540
MOTO XT865,1750
HS-T80,1200
HS-T81,1200
x8,2800
x9,2000
htc g18 sensation xe,1730
MOTOROLA XT615,1390
x3,2550
x1,1750
x6,1850
lg f100l optimus vulte,2080
me7222,1390
8180,1500
d08,1630
104sh,1520
HUAWEI U8800,1500
mt870,1880
phone s880,2250
u8651prism,1400
vivo s6t,1880
koobee a209,1500
MOTOROLA ATRIX ME860,1880
ME811,1540
wt23i,1460
3GW100,1500
zopo zp900leader ,2300
i9103galaxy r,1650
i9088galaxy s,1500
s5690galaxy xcover,1500
koobee i60,2100
MOTOROLA XT875,1750
phone a390e,1300
w920,1280
n907,1300
d539,2500
phone p700,2500
d530,1280
c8810ascend g300c,1400
E15I,1200
HTC A9191 FOR AT,1230
GT-S5830,1350
htc s710e,1450
HTC AMAZE 4G(RUBY),1730
c8650+,1250
gn180,2500
xt615,1390
eg968,1500
repp,1500
XT912,1780
XT910,1780
phone a520,1500
5820,1300
galaxy music duos,1300
C8600,1500
ot 990m,1300
