DXWC,ET T45
DXWC,ISA-JADE
E689,E689
EASTCOM,W1
Eavoo,PULID F5
Ebera,Ebera v88
EBEST,EBEST F6
EBEST,EBEST N4
EBEST,EBEST S5
EBEST,EBEST S6
EBEST,EBEST S8
EBEST,EBEST S9
EBEST,EBEST T5
EBEST,EBEST V5
EBEST,EBEST W16A
EBEST,EBEST W50L
EBEST,EBEST W66A
EBEST,EBEST W70
EBEST,I5A
epade,epade C200
epade,epade S300
EPADE,epade_S90
epade,epade_i5
EPHONE,EPHONE A10
EPHONE,EPHONE A18
EPHONE,EPHONE A5
ERENEBEN,EBEN T6
ERENEBEN,EBEN T7
ERENEBEN,T5
ETON,D500
ETON,D510
ETON,ETON D520
ETON,ETON T850
ETON,T600
ETON,T710
ETON,T730
ETON,T820
ETON,T900
EX,EX_S4
Exynos 5410,Galaxy S5
Exynos 5410,M8-A
eZee,eZee'Tab785
Faea,F1
FIH,A5
FIH,ChangHong-Z-ME
FIH,FIH-FM6
FIH,IN610
FIH,Motorola-XT500
FIH,Motorola-XT502
FIH,SH530U
FIH,SH630E
FIH,SH631W
FIH,SH8118U
FIH,SH8188U
FIH,SH837W
FIH,SH930W
FIH,SHP-SH630E
FIH,VP700
FIH,VP800
FIH,ViewPad7
FIH,XT316
Fly,IQ450_Quattro
FOREVERDRAGON,FOREVERDRAGON Z901E
FOREVERDRAGON,U69
Foxconn,NEWTAB101-MX6DQ
Foxonn OEM,iPhone 4S
FUHU,NABI2-NV7A
FUJITSU,202F
FUJITSU,F-02E
FUJITSU,F-06E
FUJITSU,F-08D
FUJITSU,F-10D
FUJITSU,T-01D
FUJITSU MOBILE COMMUNICATIONS LIMITED,101F
FUJITSU MOBILE COMMUNICATIONS LIMITED,101F
FUJITSU MOBILE COMMUNICATIONS LIMITED,ISW13F
G1,G1
G33,LEISA_A98
G33,T61
G33,T8828
G33,T9910
G3A,RLT2222
G3E3,UOOGOU_X6
G3E3ATL,T003
G3E3BSX2,MX5
G3E3ZLC2,ZX938
G3E3ZLC4,ZX918
G3E3ZYDZ2,F35
G3E5HYKJ3,Newish_T300
G3E5MG,MEEG_101
G3E5TD6,TD668
G3E5ZLC2,ZX938
G3E5ZLC4,ZX918
G3EA3,MI_2
G3EA3,UOOGOU_X6
G3EA3,X6+
G3EA3XD,HP688A
G3EA5HLI3,G_3EA_5
G3EA5SBY,T5585
G5_JLZY2,C6
G5_KODASL,KODASL_D1_5
G5_ZKN,KN_K9_G
G5C_AZ,OZZO_158S
G5C_AZ2,OZZO_128S
G5C_ZKN,KN_K9_G
G6 青春版,G6 青春版
G7A_LD,ET_A9
G7C_CYW,Glassic_H9
G7C_DM3,I9300
G7C_RT2_Y6M9A7,G_7C
GALAXY,G1
Gaoxinqi,GXQ-G13
GC,S029
GC2,V02
GETEK-X2,GETEK-X2
GFIVE,G9
GFIVE,GFIVE G9
GIGABYTE,G.fone G1345
GIGABYTE,GSmart G1355
GIGABYTE,GSmart G1362
GIGABYTE,GSmart Rio R1
GIGABYTE,MSM7225
ginwave,Gnote
GiONEE,C600
GiONEE,E3
GiONEE,E3T
GiONEE,E5
GiONEE,E6
GIONEE,GIONEE GN320
GIONEE,GN100
GIONEE,GN105
GIONEE,GN106
GiONEE,GN107
GIONEE,GN109
GiONEE,GN135
GiONEE,GN136T
GiONEE,GN137
GiONEE,GN160
GiONEE,GN160T
GiONEE,GN168T
GiONEE,GN180
GIONEE,GN205
GIONEE,GN210
GiONEE,GN305
GiONEE,GN360
GIONEE,GN380
GiONEE,GN700T
GiONEE,GN700W
GiONEE,GN705T
GiONEE,GN705W
GiONEE,GN708T
GiONEE,GN708W
GiONEE,GN709W
GIONEE,GN777
GiONEE,GN787
gionee,GN800
GiONEE,GN810
GiONEE,GN818T
GIONEE,GN868
GiONEE,GN868H
GiONEE,GN878
GiONEE,GiONEE GN600
GiONEE,GiONEE GN700W
GiONEE,TD500
GiONEE,V182
GiONEE,X805
GiONEE,X817
Gphone,Gphone n7300
GPLUS,GN708W
GPLUS,GPLUS N939
GPLUS,GPLUS-P7002
GREAT,958
GREATWALL,Digital2 Platinum
GreenOrange,GO M2S
GreenOrange,GO S2
GSUN,G501
GT-I9190,GT-I9190
GT-I9300,GT-I9300
GT-I9500,GT-I9500
GT-N7100,GT-N7100
GT-N7100,GT_N7100
GTT,TELSDA T5880
GW-G503.B01-S01,Ginwave G503
GW-Gnote2.B01-S01,Ginwave Gnote2
GW-Gnote2.B02-S01,Ginwave Gnote2
GYT,Newish_G929
GZH,GX901A
Haier,HE-E700
Haier,HE-E80
Haier,HT-I617
Haier,HT-I619
Haier,HT-I860
Haier,HT-N87T
Haier,HW-N80W
Haier,HW-W617
Haier,Haier HW-N86W
Haier,Haier HW-W910
haier,Haier W718
HAIER,PAD511
HEG-N700,HEG-N700
HESENS,HE N200
HESENS,HE-N800
HESENS,N200
Hisense,EG950
HISENSE,HS-E820
HISENSE,HS-E830
Hisense,HS-E860
Hisense,HS-E910
