alps-p860m,		alps  g4  ,					1850,		0.000000
alps-pb-s3,		alps  g3  ,					2750,		0.611111
alps-pb-s3-77,		alps  g3  ,					2750,		0.611111
alps-pl998,		alps  g4  ,					1850,		0.000000
alps-pop-p3,		alps  g3  ,					2750,		0.611111
alps-pulid f11,		alps  t1 ,					1050,		0.611111
alps-pulid f7,		alps  g4  ,					1850,		0.000000
alps-phonei5,		alps  g4  ,					1850,		0.000000
alps-q071,		alps  g4  ,					1850,		0.000000
alps-q1,		alps  t1 ,					1050,		0.666667
alps-q1亲情版,		alps  t1 ,					1050,		0.666667
alps-q508,		alps  g4  ,					1850,		0.000000
alps-q7ce,		alps  g4  ,					1850,		0.000000
alps-q8e,		alps  g4  ,					1850,		0.000000
alps-q918,		alps  t1 ,					1050,		0.583333
alps-qiangzhe p6,		alps  g4  ,					1850,		0.000000
alps-qixinghen6866,		alps  g4  ,					1850,		0.000000
alps-r601,		alps  g4  ,					1850,		0.000000
alps-r801,		alps  g4  ,					1850,		0.000000
alps-r801t,		alps  g4  ,					1850,		0.000000
alps-r805,		alps  g4  ,					1850,		0.000000
alps-r811,		alps  t1 ,					1050,		0.583333
alps-r813t,		alps  t1 ,					1050,		0.566667
alps-r817,		alps  t1 ,					1050,		0.583333
alps-rlt7777,		alps  t1 ,					1050,		0.555556
alps-ro22,		alps  g2 ,					2050,		0.583333
alps-rsd-v1,		alps  t1 ,					1050,		0.611111
alps-royalstar c188,		alps  t1 ,					1050,		0.583333
alps-s108,		alps  t1 ,					1050,		0.583333
alps-s4+,		alps  g4  ,					1850,		0.666667
alps-s5,		alps  g4  ,					1850,		0.000000
alps-s600,		alps  g4  ,					1850,		0.000000
alps-s600s,		alps  g4  ,					1850,		0.000000
alps-s6102,		alps  t1 ,					1050,		0.566667
alps-s800_ae902,		alps  g4  ,					1850,		0.000000
alps-s901,		alps  g4  ,					1850,		0.000000
alps-sa-i960,		alps  g4  ,					1850,		0.000000
alps-shma s1000,		alps  t1 ,					1050,		0.566667
alps-shma-s2000,		alps  g2 ,					2050,		0.555556
alps-sop-g926,		alps  g4  ,					1850,		0.566667
alps-sop-g928,		alps  g4  ,					1850,		0.566667
alps-sop-g998-2,		alps  g4  ,					1850,		0.566667
alps-sop-w168,		alps  t1 ,					1050,		0.566667
alps-subor_eari,		alps  g4  ,					1850,		0.000000
alps-simtelep q68,		alps  g4  ,					1850,		0.000000
alps-t29,		alps  t1 ,					1050,		0.650000
alps-t33333,		alps  t1 ,					1050,		0.600000
alps-t5966,		alps  t1 ,					1050,		0.610000
alps-t5s,		alps  t1 ,					1050,		0.650000
alps-t666,		alps  t1 ,					1050,		0.625000
alps-t8100,		alps  t1 ,					1050,		0.820000
alps-t9,		alps  t1 ,					1050,		0.700000
alps-t900,		alps  t1 ,					1050,		0.625000
alps-t9300i,		alps  t1 ,					1050,		0.600000
alps-t9555,		alps  t1 ,					1050,		0.610000
alps-t9989,		alps  t1 ,					1050,		0.610000
alps-tcl j320t,		alps  g3  ,					2750,		0.566667
alps-td300,		alps  t1 ,					1050,		0.610000
alps-td800,		alps  t1 ,					1050,		0.610000
alps-te600-h,		alps  t1 ,					1050,		0.610000
alps-telsda-3696,		alps  g3  ,					2750,		0.555556
alps-tetc g16,		alps  g1 ,					1350,		0.911111
alps-tetc-w318,		alps  g3  ,					2750,		0.566667
alps-tianpin unt988,		alps  t1 ,					1050,		0.566667
alps-tooky a19plus,		alps  t1 ,					1050,		0.566667
alps-tooky t1982,		alps  t1 ,					1050,		0.840000
alps-tooky t1992,		alps  t1 ,					1050,		0.840000
alps-tooky t88,		alps  t1 ,					1050,		0.650000
alps-tsc z10,		alps  t1 ,					1050,		0.611111
alps-tsc z9,		alps  g4  ,					1850,		0.000000
alps-tx300,		alps  t1 ,					1050,		0.610000
alps-tensent s9000,		alps  g4  ,					1850,		0.000000
alps-u-81,		alps  g4  ,					1850,		0.000000
alps-u16,		alps  t1 ,					1050,		0.611111
alps-u55gt,		alps  g4  ,					1850,		0.000000
alps-u701,		alps  g4  ,					1850,		0.000000
alps-u701t,		alps  g4  ,					1850,		0.000000
alps-u705t,		alps  g4  ,					1850,		0.000000
alps-u8,		alps  g4  ,					1850,		0.000000
alps-u802,		alps  g4  ,					1850,		0.000000
alps-u930,		alps  g3  ,					2750,		0.583333
alps-u930b,		alps  g3  ,					2750,		0.566667
alps-u980a,		alps  g4  ,					1850,		0.000000
alps-upad u 98s,		alps  g4  ,					1850,		0.000000
alps-v.land ex350,		alps  g3  ,					2750,		0.566667
alps-v1268,		alps  g2 ,					2050,		0.566667
alps-v3,		alps  g3  ,					2750,		0.666667
alps-v61,		alps  t1 ,					1050,		0.611111
alps-v610a,		alps  t1 ,					1050,		0.566667
alps-v62a,		alps  g2 ,					2050,		0.583333
alps-v88,		alps  g4  ,					1850,		0.000000
alps-v930,		alps  g3  ,					2750,		0.583333
alps-v936,		alps  g3  ,					2750,		0.583333
alps-v957,		alps  g4  ,					1850,		0.000000
alps-v973,		alps  g4  ,					1850,		0.000000
alps-v981,		alps  g4  ,					1850,		0.000000
alps-v985,		alps  g4  ,					1850,		0.000000
alps-vb 920,		alps  g2 ,					2050,		0.611111
alps-vb910,		alps  g4  ,					1850,		0.000000
alps-vb950,		alps  g4  ,					1850,		0.000000
alps-vb_i5,		alps  g4  ,					1850,		0.000000
alps-vinus v6,		alps  g4  ,					1850,		0.000000
alps-vinus-v6,		alps  g4  ,					1850,		0.000000
alps-voto-j5218,		alps  g4  ,					1850,		0.000000
alps-vow v5,		alps  g4  ,					1850,		0.000000
alps-victory_a18,		alps  t1 ,					1050,		0.611111
alps-victory_s3,		alps  g3  ,					2750,		0.666667
alps-w105,		alps  t1 ,					1050,		0.583333
alps-w109,		alps  t1 ,					1050,		0.583333
alps-w58sx,		alps  g4  ,					1850,		0.000000
alps-w6100,		alps  t1 ,					1050,		0.566667
alps-w686,		alps  g4  ,					1850,		0.000000
alps-w7200,		alps  g2 ,					2050,		0.566667
alps-w80,		alps  g4  ,					1850,		0.000000
alps-w88,		alps  g4  ,					1850,		0.000000
alps-w900,		alps  g4  ,					1850,		0.000000
alps-w960,		alps  g4  ,					1850,		0.000000
alps-w970,		alps  g4  ,					1850,		0.000000
alps-w990,		alps  g4  ,					1850,		0.000000
alps-w99c,		alps  g4  ,					1850,		0.000000
alps-wg509,		alps  g4  ,					1850,		0.566667
alps-wp-w16,		alps  t1 ,					1050,		0.583333
alps-x2,		alps  x1 ,					2400,		0.700000
alps-x4,		alps  x1 ,					2400,		0.700000
alps-x5,		alps  x1 ,					2400,		0.700000
alps-x8 note,		alps  x1 ,					2400,		0.700000
alps-x9,		alps  x1 ,					2400,		0.700000
alps-xind xd6s,		alps  x1 ,					2400,		0.650000
alps-y210,		alps  g2 ,					2050,		0.583333
alps-yc800,		alps  g4  ,					1850,		0.000000
alps-yepen p666,		alps  g4  ,					1850,		0.000000
alps-yoord d166,		alps  t1 ,					1050,		0.583333
alps-yoord d599,		alps  g4  ,					1850,		0.000000
alps-yoord d766,		alps  g4  ,					1850,		0.000000
alps-yp v610,		alps  t1 ,					1050,		0.583333
alps-ytone s3a,		alps  g3  ,					2750,		0.611111
alps-ytone s3c,		alps  g3  ,					2750,		0.611111
alps-z1,		alps  t1 ,					1050,		0.666667
alps-z1898,		alps  t1 ,					1050,		0.566667
alps-zivi i8550,		alps  g4  ,					1850,		0.000000
alps-zoye v16s,		alps  t1 ,					1050,		0.583333
alps-zp100,		alps  t1 ,					1050,		0.566667
