alps-m7,		alps  g4  ,					1850
alps-mastone g13,		alps  g1 ,					1350
alps-md656ll,		alps  g4  ,					1850
alps-mi2,		alps  g2 ,					2050
alps-mid,		alps  g4  ,					1850
alps-migo_g9100,		alps  g1 ,					1350
alps-mini520,		alps  g4  ,					1850
alps-mlled m1,		alps  t1 ,					1050
alps-mlled_m1,		alps  t1 ,					1050
alps-mofoto t6100,		alps  t1 ,					1050
alps-mofut f1,		alps  t1 ,					1050
alps-mofut t5,		alps  t1 ,					1050
alps-mofut-f8sh,		alps  g4  ,					1850
alps-mofut-f8yl,		alps  g4  ,					1850
alps-mt6589,		alps  t1 ,					1050
alps-mx x1,		alps  x1 ,					2400
alps-mx-2,		alps  x1 ,					2400
alps-mx2,		alps  g2 ,					2050
alps-myphone a848i duo,		alps  g4  ,					1850
alps-mytel,		alps  g4  ,					1850
alps-n620,		alps  g2 ,					2050
alps-n9,		alps  g4  ,					1850
alps-n920a,		alps  g2 ,					2050
alps-noain a609,		alps  g4  ,					1850
alps-noain a700,		alps  g4  ,					1850
alps-noain a900,		alps  g4  ,					1850
alps-noain a900s,		alps  g4  ,					1850
alps-noain a908,		alps  g4  ,					1850
alps-netpal_a8_mipad,		alps  g4  ,					1850
alps-newcall-ag795,		alps  g4  ,					1850
alps-newish w500,		alps  g4  ,					1850
alps-ok a15至尊版,		alps  t1 ,					1050
alps-oka13,		alps  t1 ,					1050
alps-oku1,		alps  t1 ,					1050
alps-opsson ivo6600,		alps  g4  ,					1850
alps-opsson imo f4t,		alps  g4  ,					1850
alps-opsson imo1000,		alps  t1 ,					1050
alps-opsson imo850,		alps  g4  ,					1850
alps-ouki ok16s,		alps  t1 ,					1050
alps-ouki-a8,		alps  g4  ,					1850
alps-ozzo-119+,		alps  t1 ,					1050
alps-ozzo-119a,		alps  t1 ,					1050
alps-ozzo-158,		alps  t1 ,					1050
alps-p01c,		alps  t1 ,					1050
alps-p200,		alps  g2 ,					2050
alps-p200四核,		alps  g2 ,					2050
alps-p2a,		alps  g2 ,					2050
alps-p5,		alps  g4  ,					1850
alps-p568d,		alps  g4  ,					1850
alps-p860,		alps  g4  ,					1850
alps-p860m,		alps  g4  ,					1850
alps-pb-s3,		alps  g3  ,					2750
alps-pb-s3-77,		alps  g3  ,					2750
alps-pl998,		alps  g4  ,					1850
alps-pop-p3,		alps  g3  ,					2750
alps-pulid f11,		alps  t1 ,					1050
alps-pulid f7,		alps  g4  ,					1850
alps-phonei5,		alps  g4  ,					1850
alps-q071,		alps  g4  ,					1850
alps-q1,		alps  t1 ,					1050
alps-q1亲情版,		alps  t1 ,					1050
alps-q508,		alps  g4  ,					1850
alps-q7ce,		alps  g4  ,					1850
alps-q8e,		alps  g4  ,					1850
alps-q918,		alps  t1 ,					1050
alps-qiangzhe p6,		alps  g4  ,					1850
alps-qixinghen6866,		alps  g4  ,					1850
alps-r601,		alps  g4  ,					1850
alps-r801,		alps  g4  ,					1850
alps-r801t,		alps  g4  ,					1850
alps-r805,		alps  g4  ,					1850
alps-r811,		alps  t1 ,					1050
alps-r813t,		alps  t1 ,					1050
alps-r817,		alps  t1 ,					1050
alps-rlt7777,		alps  t1 ,					1050
alps-ro22,		alps  g2 ,					2050
alps-rsd-v1,		alps  t1 ,					1050
alps-royalstar c188,		alps  t1 ,					1050
alps-s108,		alps  t1 ,					1050
alps-s4+,		alps  g4  ,					1850
alps-s5,		alps  g4  ,					1850
