=====================start
new message format: id=50, num=10010, content=TCYL
new message format: id=51, num=10086, content=CXGPRSTC
new message format: id=52, num=10001, content=702
new message format: id=53, num=10086, content=1091
new message format: id=54, num=10086, content=话费
new message format: id=55, num=10010, content=107
new message format: id=56, num=10086, content=查流量
new message format: id=57, num=10086, content=119
new message format: id=58, num=10010, content=110
new message format: id=59, num=10010, content= 2082
new message format: id=60, num=10010, content=查询流量
new message format: id=61, num=10010, content=704
new message format: id=62, num=10010, content=7011#201309
new message format: id=63, num=10086, content=162
new message format: id=64, num=10086, content=66
new message format: id=65, num=10010, content=5142
new message format: id=66, num=10086, content=1581
new message format: id=67, num=10001, content=199
new message format: id=68, num=10086, content=102
new message format: id=69, num=10086, content=103
new message format: id=70, num=10001, content=109
new message format: id=71, num=10086, content=105
new message format: id=72, num=10086, content=17*09#
   775,(广西玉林)     中国联通联通2G      :   ID=35   10010,      CXLL
   858,(贵州六盘水)   中国联通联通3G      :   ID=26   10010,      1071
   454,(黑龙江佳木斯) 中国联通联通3G      :   ID=39   10010,      2082
   713,(湖北黄冈)     中国移动神州行      :   ID=19   10086,      CXLL
   556,(安徽岳西)     中国联通联通2G      :   ID=65   10010,      5142
   778,(广西河池)     中国移动全球通      :   ID=69   10086,      103
   432,(吉林吉林)     中国移动动感地带    :   ID=20   10086,      CXSJLL
   550,(安徽明光)     中国移动全球通      :   ID=64   10086,      66
   575,(浙江绍兴)     中国移动全球通      :   ID=66   10086,      1581
   883,(云南临沧)     中国电信电信        :   ID=67   10001,      199
   352,(山西大同)     中国移动动感地带    :   ID=63   10086,      162
    10,(北京北京)     中国联通联通2G      :   ID=50   10010,      TCYL
   553,(安徽南陵)     中国联通联通2G      :   ID=65   10010,      5142
   766,(广东云浮)     中国移动神州行      :   ID=51   10086,      CXGPRSTC
   439,(吉林临江)     中国移动动感地带    :   ID=20   10086,      CXSJLL
   757,(广东佛山)     中国移动全球通      :   ID=51   10086,      CXGPRSTC
   797,(江西赣州)     中国移动动感地带    :   ID=68   10086,      102
   513,(江苏南通)     中国联通联通3G      :   ID=31   10010,      705
   417,(辽宁营口)     中国移动神州行      :   ID=57   10086,      119
   578,(浙江丽水)     中国移动神州行      :   ID=66   10086,      1581
   763,(广东清远)     中国移动动感地带    :   ID=51   10086,      CXGPRSTC
   359,(山西运城)     中国移动动感地带    :   ID=63   10086,      162
   717,(湖北宜昌)     中国移动动感地带    :   ID=19   10086,      CXLL
   436,(吉林白城)     中国移动神州行      :   ID=20   10086,      CXSJLL
